Latitude,Longitude,Hour,DayOfWeek,Month,PartOfDay,Police Station,Type_encoded
12.92085,77.58139,11,2,12,2,14,8
12.92125,77.57905,17,0,5,1,14,8
12.92596,77.55321,11,3,7,2,14,8
12.93006,77.57958,15,6,7,0,14,8
12.92367,77.58014,10,4,7,2,14,8
12.91986,77.58274,10,4,9,2,14,8
12.92141,77.58077,9,6,10,2,14,8
12.92603,77.57362,22,4,11,3,14,8
12.92115,77.58075,12,0,12,0,14,8
12.92847,77.58374,13,0,4,0,14,8
12.929578,77.585484,14,6,3,0,14,8
12.92234,77.58076,13,1,5,0,14,8
12.9321,77.59005,11,6,8,2,14,8
12.924845,77.586384,12,1,10,0,14,8
12.92028,77.58801,14,4,10,0,14,8
12.91945,77.58582,19,6,11,1,14,8
12.923852,77.576401,10,3,2,2,14,8
12.9248555,77.58965,14,5,8,0,14,8
12.92367,77.58014,18,6,5,1,14,8
12.9218,77.58027,20,3,9,1,14,8
12.92338,77.58074,12,5,4,0,14,8
12.9218,77.58027,13,6,5,0,14,8
12.9184,77.58268,14,0,1,0,14,8
12.92161,77.580742,18,4,7,1,14,8
12.92367,77.58014,16,2,4,0,14,8
12.91945,77.58582,19,3,9,1,14,8
12.92367,77.58014,21,2,11,3,14,8
12.92239,77.580757,11,0,5,2,14,8
12.9167,77.59763,23,0,12,3,14,8
12.92053,77.58274,0,6,3,3,14,8
12.924885,77.586855,16,5,8,0,14,8
12.92367,77.58014,17,1,7,1,14,8
12.9218,77.58027,15,2,1,0,14,8
12.91457,77.586042,14,0,3,0,14,8
12.9184578,77.58458,8,5,4,2,14,8
12.91945,77.58582,19,2,4,1,14,8
12.92367,77.58014,14,2,5,0,14,8
12.925458,77.57486,10,6,5,2,14,8
12.92397,77.579678,19,4,12,1,14,8
12.9309485,77.57875,13,2,6,0,14,8
12.92847,77.585475,18,1,6,1,14,8
12.93443,77.5927,15,0,8,0,14,8
12.9167,77.58953,18,2,10,1,14,8
12.925648,77.575869,12,5,1,0,14,8
12.921648,77.580745,21,2,2,3,14,8
12.924586,77.580145,14,2,7,0,14,8
12.930911,77.578156,17,5,10,1,14,8
12.925684,77.575458,17,2,10,1,14,8
12.925568,77.580145,20,1,10,1,14,8
12.9235485,77.58948,17,3,9,1,14,8
12.921645,77.580286,10,5,2,2,14,8
12.921645,77.580286,11,5,2,2,14,8
12.9145885,77.58514,11,5,2,2,14,8
12.9145885,77.58514,13,5,2,0,14,8
12.921458,77.580478,12,1,6,0,14,8
12.917775,77.5854769,17,3,11,1,14,8
